database,keyword,title,authors,publisher,journal,issue,year,link
RISS,한샘,《김한샘: Nowon》,강재영,(주)월간미술,2025,월간미술,2025,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c26e4556b0a15578b7998d826d417196&keyword=한샘
RISS,UX 공간디자인,Smart Home 환경에서의 욕실공간사용자 경험(UX)디자인특성 연,"천수진 ( Chun¸ Soojin ),김연정 ( Kim¸ Yeonjung )",한국공간디자인학회,2021,한국공간디자인학회논문집,2021,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=576d72e742c1fc1bb7998d826d417196&keyword=UX 공간디자인
RISS,UX 공간디자인,백화점 공용공간의 사용자 경험(UX)디자인특성 연구 -MZ 세대 소비자 평가를 중심으로-,"홍기훈 ( Hong Kihun ),한태권 ( Han Taekwon ),김주연 ( Kim Jooyun )",한국공간디자인학회,2021,한국공간디자인학회논문집,2021,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b277a1508531bb05e9810257f7042666&keyword=UX 공간디자인
RISS,UX 공간디자인,사용자 경험(UX)디자인을 중심으로 이머시브 아트공간의 선호도 연구,유정,한국공간디자인학회,2022,한국공간디자인학회논문집,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=99612710fb6cb6d647de9c1710b0298d&keyword=UX 공간디자인
RISS,UX 공간디자인,노년층의 라이프 스타일 변화에 따른 새로운 주거공간에 대한UX디자인방향 연구,"이동민,김정곤",한국디자인지식학회,2014,디자인지식저널,2014,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1ab89b19b5439826b7998d826d417196&keyword=UX 공간디자인
RISS,UX 공간디자인,노년 사용자의 상업공간접근성에 인지 기반UX디자인이 미치는 영향 - 사회적 디지털 디바이드 문제 해결수단으로 서의 UI디자인,유승헌,한국디자인학회,2021,디자인학연구,2021,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8fdf816fb754f90ab36097776a77e665&keyword=UX 공간디자인
RISS,UX 공간디자인,게더타운UX디자인분석을 통한 메타버스공간사용성 개선방안 연구,"안상우(Sang Woo An),송지성(Ji Sung Song)",한국디자인리서치학회,2023,한국디자인리서치,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cf84f37d0d1a9a2c7f7a54760bb41745&keyword=UX 공간디자인
RISS,UX 공간디자인,공간제스처UX(AirtouchUX)디자인을 위한 정보 디스플레이 코드 활용,"유승헌,이태일",한국디자인지식학회,2013,디자인지식저널,2013,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=75824dd8395a92f47ecd42904f0c5d65&keyword=UX 공간디자인
RISS,UX 공간디자인,도시 실내공간을 고려한 모듈형 텃밭디자인과UX서비스,"JiHyun Park,TaeKyun Kim",한국서비스디자인학회,2017,한국서비스디자인학회 학술대회자료집,2017,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=878684f0852890f0b7998d826d417196&keyword=UX 공간디자인
RISS,UX 공간디자인,대기업 가구업계를 통한 웹 기반 인테리어 가상공간서비스에 대한 사용자 경험(UX)디자인만족도,"박주현,한혜련",한국문화공간건축학회,2022,한국문화공간건축학회논문집,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=72723eb8adceff586aae8a972f9116fb&keyword=UX 공간디자인
RISS,UX 공간디자인,사용자 분석에 의한 패밀리레스토랑의UX디자인특성,"모조설 ( Zhaoxue Mao ),남경숙 ( Kyoungsook Nam )",한국공간디자인학회,2019,한국공간디자인학회논문집,2019,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=44ee37bfbd5a92a57ecd42904f0c5d65&keyword=UX 공간디자인
RISS,인체공학적 공간디자인,캠핑 요트의 실내공간환경 개선에 관한 연구 -캠핑자의 만족을 중심으로-,"장한문,김철수",한국공간디자인학회,2022,한국공간디자인학회논문집,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9d67b847a9915e6a47de9c1710b0298d&keyword=인체공학적 공간디자인
RISS,인체공학적 공간디자인,잠실 올림픽주경기장 버스정류장디자인개발,송규호,한국공간디자인학회,2020,한국공간디자인학회논문집,2020,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8177e41ea719b5ceb36097776a77e665&keyword=인체공학적 공간디자인
RISS,인체공학적 공간디자인,학령기 아동의 스트레스 경감을 위한 백팩디자인개발 연구,"챠오위민,윤여경",한국상품문화디자인학회,2022,상품문화디자인학연구,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9556bd0253610c79b7998d826d417196&keyword=인체공학적 공간디자인
RISS,인체공학적 공간디자인,유·아동을 위한 샴푸 의자디자인개발,"김성희,서명원,이현정,김민창",사단법인 한국조형디자인협회,2021,조형디자인연구,2021,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=011e017be2c0eb23b36097776a77e665&keyword=인체공학적 공간디자인
RISS,인체공학적 공간디자인,실버 세대를 위한 스마트 온돌침대디자인개발,진병욱,한국인더스트리얼디자인학회,2023,산업디자인학연구,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=44a6926eafd2df437f7a54760bb41745&keyword=인체공학적 공간디자인
RISS,주거환경디자인,중국의 고령자주거생활환경디자인개선에 관한 연구,"양리챵,채민규",대한전시디자인학회,2022,전시디자인연구,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=87f6dd73d347d446d18150b21a227875&keyword=주거환경디자인
RISS,주거환경디자인,자폐인의주거환경을 위한디자인전략,전기정,한국주거학회,2023,住居,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4b170eb8c2bc9de07f7a54760bb41745&keyword=주거환경디자인
